section,name,count
flag,ok,2150
flag,reject,728
reject_reason,oxygen_plus_co2_gt_23,433
reject_reason,oxygen_percent_outside_0_23,399
reject_reason,carbon_dioxide_percent_outside_0_15,363
reject_reason,stack_draft_abs_gt_100_column_shift,242
reject_reason,carbon_monoxide_ppm_missing,238
reject_reason,stack_temp_equals_oxygen_small,73
reject_reason,stack_temp_c_outside_30_1000,41
reject_reason,carbon_dioxide_percent_missing,27
reject_reason,oxygen_co_co2_identical_nonzero,10
reject_reason,co_ppm_equals_co2_percent_and_oxygen,8
reject_reason,stack_temp_c_missing,3
reject_reason,oxygen_percent_missing,1
warning,excess_air_gt_5000,50
warning,ambient_temp_missing,20
warning,ambient_temp_outside_0_80,6
run,methane/set-001:ok,152
run,methane/set-001:reject,30
run,methane/set-002:ok,331
run,methane/set-002:reject,73
run,methane/set-003:ok,289
run,methane/set-003:reject,63
run,propene/set-001:ok,237
run,propene/set-001:reject,68
run,propene/set-002:ok,242
run,propene/set-002:reject,64
run,propene/set-003:ok,252
run,propene/set-003:reject,50
run,propene/set-004:ok,150
run,propene/set-004:reject,158
run,propene/set-005:reject,160
run,propene/set-005:ok,156
run,propene/set-006:reject,62
run,propene/set-006:ok,341
