fuel,set_id,source_set_id,flow_setting,app1_start,app1_stop,app3_start,app3_stop,rgb_images,ir_images,candidate_rgb_ir_pairs,paired_samples,skipped_outside_thermal_window,unmatched_rgb_images,unmatched_ir_images,rgb_ir_threshold_ms,thermal_video,thermal_fps,thermal_video_frame_count,thermal_video_width,thermal_video_height,thermal_frames_extracted,gas_matches_ok,max_abs_gas_delta_s
methane,set-001,set-1,,2026-05-15 18:48:22.288058,2026-05-15 18:50:06.369093,2026-05-15 18:48:23.230032,2026-05-15 18:50:07.565386,192,214,191,182,9,1,23,500.0,C:\Users\ADMIN\Documents\IYYAKUTTI\FlareAnalysis\[15_05_2026]_dataCollection\methane\set-1\Thermal\Rec_20260515_184822_189.mp4,25.009612,2602,768,576,182,182,0.956532
methane,set-002,set-2,,2026-05-15 18:53:21.924913,2026-05-15 19:04:49.864960,2026-05-15 18:53:22.886398,2026-05-15 19:04:50.928605,404,404,404,404,0,0,0,1000.0,C:\Users\ADMIN\Documents\IYYAKUTTI\FlareAnalysis\[15_05_2026]_dataCollection\methane\set-2\Thermal\Rec_20260515_185321_830.mp4,25.001454,17200,768,576,404,404,0.964398
methane,set-003,set-3,,2026-05-15 19:13:36.448585,2026-05-15 19:23:33.218242,2026-05-15 19:13:37.370669,2026-05-15 19:23:34.364856,353,354,353,352,1,0,1,1000.0,C:\Users\ADMIN\Documents\IYYAKUTTI\FlareAnalysis\[15_05_2026]_dataCollection\methane\set-3\Thermal\Rec_20260515_191336_341.mp4,25.001676,14915,768,576,352,352,1.370669
propene,set-001,set-1,10,2026-05-15 19:39:11.980541,2026-05-15 19:47:48.392711,2026-05-15 19:39:13.203542,2026-05-15 19:47:49.428128,305,305,305,305,0,0,0,1000.0,C:\Users\ADMIN\Documents\IYYAKUTTI\FlareAnalysis\[15_05_2026]_dataCollection\propene\set-1\Thermal\Rec_20260515_193911_888.mp4,25.001936,12912,768,576,305,305,0.938042
propene,set-002,set-2,4,2026-05-15 19:50:14.640345,2026-05-15 19:58:52.959295,2026-05-15 19:50:15.592438,2026-05-15 19:58:54.076559,306,307,306,306,0,0,1,1000.0,C:\Users\ADMIN\Documents\IYYAKUTTI\FlareAnalysis\[15_05_2026]_dataCollection\propene\set-2\Thermal\Rec_20260515_195014_539.mp4,25.00193,12956,768,576,306,306,0.912438
propene,set-003,set-3,8,2026-05-15 20:02:02.192806,2026-05-15 20:10:35.643332,2026-05-15 20:02:03.186020,2026-05-15 20:10:36.793914,302,302,302,302,0,0,0,1000.0,C:\Users\ADMIN\Documents\IYYAKUTTI\FlareAnalysis\[15_05_2026]_dataCollection\propene\set-3\Thermal\Rec_20260515_200202_094.mp4,25.001948,12837,768,576,302,302,0.92902
propene,set-004,set-4,12,2026-05-15 20:12:45.770380,2026-05-15 20:21:28.014740,2026-05-15 20:12:46.775283,2026-05-15 20:21:29.094748,309,309,308,308,0,1,1,1000.0,C:\Users\ADMIN\Documents\IYYAKUTTI\FlareAnalysis\[15_05_2026]_dataCollection\propene\set-4\Thermal\Rec_20260515_201245_679.mp4,25.001917,13041,768,576,308,308,1.302717
propene,set-005,set-5,16,2026-05-15 20:23:27.466394,2026-05-15 20:32:23.561212,2026-05-15 20:23:28.419473,2026-05-15 20:32:24.645618,317,318,317,316,1,0,1,1000.0,C:\Users\ADMIN\Documents\IYYAKUTTI\FlareAnalysis\[15_05_2026]_dataCollection\propene\set-5\Thermal\Rec_20260515_202327_369.mp4,25.001866,13396,768,576,316,316,0.997473
propene,set-006,set-6,20,2026-05-15 20:35:00.224001,2026-05-15 20:46:25.409044,2026-05-15 20:35:01.206243,2026-05-15 20:46:26.554250,405,405,403,403,0,2,2,1000.0,C:\Users\ADMIN\Documents\IYYAKUTTI\FlareAnalysis\[15_05_2026]_dataCollection\propene\set-6\Thermal\Rec_20260515_203500_125.mp4,25.00146,17129,768,576,403,403,1.386757
